"Year","Election Date","Election Type","Votes Cast","Party","Number of Candidates","Seats Won",
"1990","September 06, 1990","General Election","1302134","Liberal Party","130","36",
"1990","September 06, 1990","General Election","24613","Libertarian Party","46","0",
"1990","September 06, 1990","General Election","1509506","New Democratic Party","130","74",
"1990","September 06, 1990","General Election","944564","Progressive Conservative","130","20",
"1987","September 10, 1987","General Election","3422","Communist Party of Canada (Ontario)","9","0",
"1987","September 10, 1987","General Election","48110","Family Coalition Party of Ontario","36","0",
"1987","September 10, 1987","General Election","4735","Freedom Party of Ontario (Formerly Unparty Party*)","9","0",
"1987","September 10, 1987","General Election","3398","Green Party of Ontario","7","0",
"1987","September 10, 1987","General Election","13632","Independent","19","0",
"1987","September 10, 1987","General Election","1788214","Ontario Liberal Party","130","95",
"1987","September 10, 1987","General Election","13514","Ontario Libertarian Party","25","0",
"1987","September 10, 1987","General Election","970813","New Democratic Party of Ontario","130","19",
"1987","September 10, 1987","General Election","931473","Progressive Conservative Party of Ontario","130","16",
"1985","May 02, 1985","General Election","3696","Communist Party of Ontario","10","0",
"1985","May 02, 1985","General Election","1583","The Freedom Part of Ontario (Formerly Unpart Party*)","3","0",
"1985","May 02, 1985","General Election","5345","The Green Party of Ontario","9","0",
"1985","May 02, 1985","General Election","25728","Independent","28","0",
"1985","May 02, 1985","General Election","1377965","Ontario Liberal Party","125","48",
"1985","May 02, 1985","General Election","12831","Ontario Libertarian Party","17","0",
"1985","May 02, 1985","General Election","865507","New Democratic Part of Ontario","125","25",
"1985","May 02, 1985","General Election","1343044","Progressive Conservative","125","52",
"1981","March 19, 1981","General Election","5306","Communist","18","0",
"1981","March 19, 1981","General Election","10585","Independent","27","0",
"1981","March 19, 1981","General Election","1065569","Liberal","123","33",
"1981","March 19, 1981","General Election","7111","Liberal-Labour","2","1",
"1981","March 19, 1981","General Election","7087","Libertarian","12","0",
"1981","March 19, 1981","General Election","672824","New Democratic","125","21",
"1981","March 19, 1981","General Election","1412488","Progressive Conservative","125","70",
"1981","March 19, 1981","General Election","1054","Social Credit","3","0",
"1981","March 19, 1981","General Election","460","Unparty","1","0",
"1977","June 09, 1977","General Election","8137","Communist Party","33","0",
"1977","June 09, 1977","General Election","233","Democrat","1","0",
"1977","June 09, 1977","General Election","7414","Independent","25","0",
"1977","June 09, 1977","General Election","1042464","Liberal Party","123","33",
"1977","June 09, 1977","General Election","8242","Liberal-Labour","2","1",
"1977","June 09, 1977","General Election","9961","Libertarian Party","31","0",
"1977","June 09, 1977","General Election","940961","New Democratic Party","125","33",
"1977","June 09, 1977","General Election","1322723","Progressive Conservative Party","125","58",
"1977","June 09, 1977","General Election","1698","Social Credit","7","0",
"1975","September 18, 1975","General Election","9120","Communist","33","0",
"1975","September 18, 1975","General Election","4093","Independent","17","0",
"1975","September 18, 1975","General Election","1125615","Liberal","123","35",
"1975","September 18, 1975","General Election","9066","Liberal-Labour","2","1",
"1975","September 18, 1975","General Election","4437","Libertarian","15","0",
"1975","September 18, 1975","General Election","424","North American Labour","3","0",
"1975","September 18, 1975","General Election","956904","New Democratic Party","125","38",
"1975","September 18, 1975","General Election","1192592","Progressive Conservative","125","51",
"1975","September 18, 1975","General Election","4146","Social Credit","13","0",
"1971","October 21, 1971","General Election","1620","Communist","5","0",
"1971","October 21, 1971","General Election","16959","Independent","23","0",
"1971","October 21, 1971","General Election","913742","Liberal","117","20",
"1971","October 21, 1971","General Election","893879","New Democratic","117","19",
"1971","October 21, 1971","General Election","1465313","Progressive Conservative","117","78",
"1971","October 21, 1971","General Election","1204","Social Credit","5","0",
"1967","October 17, 1967","General Election","592","Communist","2","0",
"1967","October 17, 1967","General Election","2382","Independent","5","0",
"1967","October 17, 1967","General Election","762340","Liberal","115","27",
"1967","October 17, 1967","General Election","5051","Liberal-Labour","2","1",
"1967","October 17, 1967","General Election","628397","New Democratic","117","20",
"1967","October 17, 1967","General Election","1018755","Progressive Conservative","117","69",
"1967","October 17, 1967","General Election","1906","Social Credit","7","0",
"1967","October 17, 1967","General Election","287","Socialist-Labour","1","0",
"1963","September 25, 1963","General Election","1654","Communist","6","0",
"1963","September 25, 1963","General Election","2759","Independent","7","0",
"1963","September 25, 1963","General Election","754032","Liberal","107","23",
"1963","September 25, 1963","General Election","6774","Liberal-Labour","1","1",
"1963","September 25, 1963","General Election","340208","New Democratic","97","7",
"1963","September 25, 1963","General Election","1052740","Progressive Conservative","108","77",
"1963","September 25, 1963","General Election","5190","Progressive Conservative-Ind.","1","0",
"1963","September 25, 1963","General Election","2313","Social Credit","9","0",
"1963","September 25, 1963","General Election","103","Socialist-Labour","1","0",
"1959","June 11, 1959","General Election","313834","C.C.F","80","5",
"1959","June 11, 1959","General Election","832","Independent","2","0",
"1959","June 11, 1959","General Election","682589","Liberal","97","21",
"1959","June 11, 1959","General Election","1512","Labour-Cooperative Commonwealth","1","0",
"1959","June 11, 1959","General Election","6559","Liberal-Labour","1","1",
"1959","June 11, 1959","General Election","4304","Labour-Progressive","9","0",
"1959","June 11, 1959","General Election","868816","Progressive Conservative","98","71",
"1959","June 11, 1959","General Election","2119","Independent P.C.","2","0",
"1959","June 11, 1959","General Election","1740","Social Credit","5","0",
"1959","June 11, 1959","General Election","268","White Canada","1","0",
"1955","June 09, 1955","General Election","291410","C.C.F","81","3",
"1955","June 09, 1955","General Election","9169","Independent","5","0",
"1955","June 09, 1955","General Election","577774","Liberal","94","10",
"1955","June 09, 1955","General Election","641","Independent Liberal","1","0",
"1955","June 09, 1955","General Election","7305","Liberal Labour","2","1",
"1955","June 09, 1955","General Election","20875","Labour-Progressive","31","0",
"1955","June 09, 1955","General Election","846592","Progressive-Conservative","97","83",
"1955","June 09, 1955","General Election","7033","Unendorsed Progressive Conservative","1","1",
"1955","June 09, 1955","General Election","602","Independent Social Credit","1","0",
"1955","June 09, 1955","General Election","124","Socialist-Labour","1","0",
"1951","November 22, 1951","General Election","339362","Co-Operative Commonwealth","77","2",
"1951","November 22, 1951","General Election","1869","Independent","4","0",
"1951","November 22, 1951","General Election","551753","Liberal","88","7",
"1951","November 22, 1951","General Election","1375","Independent Labour","1","0",
"1951","November 22, 1951","General Election","7939","Liberal Labour","2","1",
"1951","November 22, 1951","General Election","11914","Labour-Progressive","6","1",
"1951","November 22, 1951","General Election","860939","Progressive-Conservative","90","79",
"1951","November 22, 1951","General Election","1094","Independent Progressive-Conservative","2","0",
"1951","November 22, 1951","General Election","371","Socialist-Labour","1","0",
"1948","June 07, 1948","General Election","466274","Co-Operative Commonwealth","81","21",
"1948","June 07, 1948","General Election","8613","Co-Op. Commonwealth-Ind.","1","0",
"1948","June 07, 1948","General Election","1766","Independent","1","0",
"1948","June 07, 1948","General Election","515795","Liberal","88","13",
"1948","June 07, 1948","General Election","253","Labour","1","0",
"1948","June 07, 1948","General Election","7682","Liberal-Labour","2","1",
"1948","June 07, 1948","General Election","17654","Labour-Progressive","2","2",
"1948","June 07, 1948","General Election","725799","Progressive Conservative","90","53",
"1948","June 07, 1948","General Election","3340","Progressive Conservative-Ind.","3","0",
"1948","June 07, 1948","General Election","1104","Social Credit","3","0",
"1948","June 07, 1948","General Election","913","Socialist-Labour","5","0",
"1948","June 07, 1948","General Election","8844","Union of Electors","12","0",
"1945","June 04, 1945","General Election","395708","Co-Operative Commonwealth","89","8",
"1945","June 04, 1945","General Election","11895","Independent","14","0",
"1945","June 04, 1945","General Election","475029","Liberal","79","11",
"1945","June 04, 1945","General Election","6285","Labour","4","0",
"1945","June 04, 1945","General Election","41163","Liberal-Labour","7","3",
"1945","June 04, 1945","General Election","43170","Labour-Progressive","29","2",
"1945","June 04, 1945","General Election","10241","Liberal-Progressive","2","0",
"1945","June 04, 1945","General Election","781345","Progressive Conservative","90","66",
"1945","June 04, 1945","General Election","247","Social Credit","1","0",
"1945","June 04, 1945","General Election","710","Socialist-Labour","2","0",
