"EventNameEnglish","IsGeneralElection","ElectoralDistrictNumber","PollingDate","ResignedMPPName","NameOfCandidates","PoliticalInterestCode","TotalValidBallotsCast","PercentOfTotalValidBallotsCast","Plurality"
"2018 General Election",1,61,"2018-Jun-07","VIJAY KUMAR RAMADORAI","Kaleed Rasheed","PCP",17862,0.411519410206197,4739
"2018 General Election",1,61,"2018-Jun-07","VIJAY KUMAR RAMADORAI","Tom Takacs","NDP",9871,0.22741619629075,0
"2018 General Election",1,61,"2018-Jun-07","VIJAY KUMAR RAMADORAI","Basia Krzyzanowski","GPO",1498,0.0345121529777675,0
"2018 General Election",1,61,"2018-Jun-07","VIJAY KUMAR RAMADORAI","Leonard Little","NAP",413,0.00951503283031908,0
"2018 General Election",1,61,"2018-Jun-07","VIJAY KUMAR RAMADORAI","Mykola Ponomarenko","MOD",175,0.0040317935721691,0
"2018 General Election",1,84,"2018-Jun-07","KIM BORDELEAU","Norm Miller","PCP",22662,0.48070763421929,12277
"2018 General Election",1,84,"2018-Jun-07","KIM BORDELEAU","Chris Packer","LTN",196,0.00415756315889951,0
"2018 General Election",1,84,"2018-Jun-07","KIM BORDELEAU","Matt Richter","GPO",9438,0.200199393335172,0
"2018 General Election",1,84,"2018-Jun-07","KIM BORDELEAU","Brenda Rhodes","LIB",4071,0.0863542837748977,0
"2018 General Election",1,84,"2018-Jun-07","KIM BORDELEAU","Jeff Mole","IND",219,0.00464544046836221,0
"2018 General Election",1,84,"2018-Jun-07","KIM BORDELEAU","Erin Horvath","NDP",10385,0.220287211250875,0
"2018 General Election",1,84,"2018-Jun-07","KIM BORDELEAU","Joshua Macdonald","NAP",172,0.00364847379250365,0
"2018 General Election",1,104,"2018-Jun-07","ANNA DI RUSCIO","Mike Holmes","LTN",621,0.0131403542182441,0
"2018 General Election",1,104,"2018-Jun-07","ANNA DI RUSCIO","Gila Martow","PCP",28889,0.611290971031973,19755
"2018 General Election",1,104,"2018-Jun-07","ANNA DI RUSCIO","Ezra Tanen","NDP",9134,0.193275354958844,0
"2018 General Election",1,104,"2018-Jun-07","ANNA DI RUSCIO","Sabi Ahsan","LIB",6985,0.147802534966885,0
"2018 General Election",1,104,"2018-Jun-07","ANNA DI RUSCIO","Aleksei Polyakov","MOD",177,0.00374531835205992,0
"2018 General Election",1,104,"2018-Jun-07","ANNA DI RUSCIO","Above Znoneofthe","NAP",410,0.00867559618273767,0
"2018 General Election",1,104,"2018-Jun-07","ANNA DI RUSCIO","Rachel Dokhoian","GPO",1043,0.0220698702892571,0
"2018 General Election",1,41,"2018-Jun-07","GUS CARUSO","Cyma Musarat","PCP",9367,0.302854925797795,0
"2018 General Election",1,41,"2018-Jun-07","GUS CARUSO","Tom Rakocevic","NDP",11573,0.374179572569433,2206
"2018 General Election",1,41,"2018-Jun-07","GUS CARUSO","Deanna Sgro","LIB",8642,0.279414142067315,0
"2018 General Election",1,41,"2018-Jun-07","GUS CARUSO","Lucy Guerrero","TRI",198,0.00640175886708267,0
"2018 General Election",1,41,"2018-Jun-07","GUS CARUSO","Kirsten J. Bennett","GPO",485,0.0156810760128035,0
"2018 General Election",1,41,"2018-Jun-07","GUS CARUSO","Jennifer Ochoa","LTN",344,0.0111222477286689,0
"2018 General Election",1,41,"2018-Jun-07","GUS CARUSO","Scott Aitchison","CNS",320,0.0103462769569013,0
"2018 General Election",1,4,"2018-Jun-07","DENNIS CHRONOPOULOS","Brett Dorion","LTN",396,0.00894470545717383,0
"2018 General Election",1,4,"2018-Jun-07","DENNIS CHRONOPOULOS","Pekka Reinio","NDP",12661,0.285982110589086,0
"2018 General Election",1,4,"2018-Jun-07","DENNIS CHRONOPOULOS","Stacey Surkova","TRI",118,0.00266534152511745,0
"2018 General Election",1,4,"2018-Jun-07","DENNIS CHRONOPOULOS","Jake Tucker","CCP",184,0.00415612576797976,0
"2018 General Election",1,4,"2018-Jun-07","DENNIS CHRONOPOULOS","Andrea Khanjin","PCP",22121,0.499661185399349,9460
"2018 General Election",1,4,"2018-Jun-07","DENNIS CHRONOPOULOS","Bonnie North","GPO",3190,0.0720545717383448,0
"2018 General Election",1,4,"2018-Jun-07","DENNIS CHRONOPOULOS","Ann Hoggarth","LIB",5543,0.12520328876039,0
"2018 General Election",1,4,"2018-Jun-07","DENNIS CHRONOPOULOS","Alexander Ryzhykh","MOD",59,0.00133267076255872,0
"2018 General Election",1,21,"2018-Jun-07","DENISE DAVIS","Shelley Carroll","LIB",12557,0.309232398354963,0
"2018 General Election",1,21,"2018-Jun-07","DENISE DAVIS","Vincent Ke","PCP",18046,0.444406136872953,5489
"2018 General Election",1,21,"2018-Jun-07","DENISE DAVIS","Sarah Matthews","LTN",287,0.00706774694018272,0
"2018 General Election",1,21,"2018-Jun-07","DENISE DAVIS","Akil Sadikali","NDP",8476,0.208732484546999,0
"2018 General Election",1,21,"2018-Jun-07","DENISE DAVIS","Janelle Yanishewski","GPO",1039,0.025586721501219,0
"2018 General Election",1,21,"2018-Jun-07","DENISE DAVIS","Alexander Verstraten","NAP",202,0.00497451178368261,0
"2018 General Election",1,64,"2018-Jun-07","MARY COSGRIFFE","Deepak Anand","PCP",14712,0.391162160006381,2361
"2018 General Election",1,64,"2018-Jun-07","MARY COSGRIFFE","Nikki Clarke","NDP",12351,0.328387971604052,0
"2018 General Election",1,64,"2018-Jun-07","MARY COSGRIFFE","Amrit Mangat","LIB",7813,0.207731780596102,0
"2018 General Election",1,64,"2018-Jun-07","MARY COSGRIFFE","Caroline Roach","IND",1187,0.0315599159820265,0
"2018 General Election",1,64,"2018-Jun-07","MARY COSGRIFFE","Eryn Sylvester","GPO",674,0.0179202892770732,0
"2018 General Election",1,64,"2018-Jun-07","MARY COSGRIFFE","Alex Vezina","NAP",217,0.00576958868416154,0
"2018 General Election",1,64,"2018-Jun-07","MARY COSGRIFFE","Michelle Ciupka","LTN",657,0.0174682938502034,0
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","Peter Bethlenfalvy","PCP",22447,0.421991615438122,5414
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","Adam Narraway","GPO",2105,0.0395728761303179,0
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","Brendan Reilly","LTN",273,0.00513225424397947,0
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","Nerissa Cariño","NDP",17033,0.32021130599891,0
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","Ibrahim Daniyal","LIB",10851,0.203993006598613,0
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","Netalia Duboisky","MOD",111,0.00208674073656308,0
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","Eric Sivadas","IND",83,0.00156035568589852,0
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","William Myers","IND",194,0.0036470964224616,0
"2018 General Election",1,87,"2018-Jun-07","SANDI SULLIVAN","Michelle Francis","NA",96,0.00180474874513563,0
"2018 General Election",1,107,"2018-Jun-07","MAURICE LANDRIAULT","Shawn Poirier","NRT",1105,0.0402388842358254,0
"2018 General Election",1,107,"2018-Jun-07","MAURICE LANDRIAULT","Lawrence Schnarr","LTN",191,0.0069553184516223,0
"2018 General Election",1,107,"2018-Jun-07","MAURICE LANDRIAULT","John Vanthof","NDP",16806,0.61199519318306,10646
"2018 General Election",1,107,"2018-Jun-07","MAURICE LANDRIAULT","Margaret Williams","PCP",6160,0.224318123884782,0
"2018 General Election",1,107,"2018-Jun-07","MAURICE LANDRIAULT","Casey Lalonde","GPO",723,0.0263282473325808,0
"2018 General Election",1,107,"2018-Jun-07","MAURICE LANDRIAULT","Brian A. Johnson","LIB",2476,0.0901642329121299,0
"2018 General Election",1,81,"2018-Jun-07","PATRICIA DIMILLO","Pat Freel","GPO",1937,0.0383222870709269,0
"2018 General Election",1,81,"2018-Jun-07","PATRICIA DIMILLO","Nicholas Paliga","LTN",251,0.00496587199525175,0
"2018 General Election",1,81,"2018-Jun-07","PATRICIA DIMILLO","Chandra Pasma","NDP",16415,0.324760114749233,0
"2018 General Election",1,81,"2018-Jun-07","PATRICIA DIMILLO","Colin A. Pritchard","NAP",542,0.0107231180136512,0
"2018 General Election",1,81,"2018-Jun-07","PATRICIA DIMILLO","Jeremy Roberts","PCP",16590,0.328222376100505,175
"2018 General Election",1,81,"2018-Jun-07","PATRICIA DIMILLO","Bob Chiarelli","LIB",14810,0.293006232070432,0
"2018 General Election",1,44,"2018-Jun-07","IAN SIMPSON","Glen Archer","NDP",7493,0.373324697324498,0
"2018 General Election",1,44,"2018-Jun-07","IAN SIMPSON","Ember McKillop","GPO",707,0.0352249514224503,0
"2018 General Election",1,44,"2018-Jun-07","IAN SIMPSON","Greg Rickford","PCP",9748,0.485675850729909,2255
"2018 General Election",1,44,"2018-Jun-07","IAN SIMPSON","Karen Kejick","LIB",2123,0.105774500523143,0
"2018 General Election",1,30,"2018-Jun-07","ANNE YURKIV","Mahamud Amin","NDP",9210,0.253677078168898,0
"2018 General Election",1,30,"2018-Jun-07","ANNE YURKIV","Doug Ford","PCP",19055,0.524844378339668,9845
"2018 General Election",1,30,"2018-Jun-07","ANNE YURKIV","Shafiq Qaadri","LIB",6601,0.181815677849391,0
"2018 General Election",1,30,"2018-Jun-07","ANNE YURKIV","Nancy Kaur Ghuman","GPO",1026,0.0282597917699554,0
"2018 General Election",1,30,"2018-Jun-07","ANNE YURKIV","Brianne Lefebvre","LTN",414,0.0114030738720873,0
"2018 General Election",1,53,"2018-Jun-07","MARCIA COOPER","Teresa J. Armstrong","NDP",25272,0.556762353770571,11753
"2018 General Election",1,53,"2018-Jun-07","MARCIA COOPER","Lisa Carriere","GPO",2050,0.0451631380670177,0
"2018 General Election",1,53,"2018-Jun-07","MARCIA COOPER","Henryk Szymczyszyn","LTN",218,0.00480271419444383,0
"2018 General Election",1,53,"2018-Jun-07","MARCIA COOPER","Eric Weniger","PCP",13519,0.297834372452689,0
"2018 General Election",1,53,"2018-Jun-07","MARCIA COOPER","Stephen R. Campbell","NAP",312,0.00687360930580952,0
"2018 General Election",1,53,"2018-Jun-07","MARCIA COOPER","Lawvin Hadisi","LIB",3797,0.0836509440197396,0
"2018 General Election",1,53,"2018-Jun-07","MARCIA COOPER","Rob Small","FRE",223,0.00491286818972924,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Rima Berns-McGown","NDP",24064,0.48210922787194,10584
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Eric Brazau","CAP",68,0.00136234323035621,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Tony Chipman","PEO",58,0.00116199863765676,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Sarah Mallo","PCP",9202,0.184357094202027,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Arthur Potts","LIB",13480,0.270064510958849,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Debra Scott","GPO",2128,0.0426333293264415,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Bahman Yazdanfar","CCP",74,0.00148254998597587,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Joe Ring","NAP",104,0.0020835837640742,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Thomas Armstrong","LTN",458,0.00917578234563449,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Regina Mundrugo","PSN",117,0.00234403173458348,0
"2018 General Election",1,7,"2018-Jun-07","JEFF PAULIN","Andrew Balodis","IND",161,0.00322554794246103,0
"2018 General Election",1,116,"2018-Jun-07","WM. J. PAUL JONES","Lorne Coe","PCP",26471,0.458007474565714,5313
"2018 General Election",1,116,"2018-Jun-07","WM. J. PAUL JONES","Ronald Halabi","LTN",522,0.00903176690428403,0
"2018 General Election",1,116,"2018-Jun-07","WM. J. PAUL JONES","Niki Lundquist","NDP",21158,0.366080697626133,0
"2018 General Election",1,116,"2018-Jun-07","WM. J. PAUL JONES","Leisa Washington","LIB",7441,0.12874593397467,0
"2018 General Election",1,116,"2018-Jun-07","WM. J. PAUL JONES","Stacey Leadbetter","GPO",1958,0.0338777770087895,0
"2018 General Election",1,116,"2018-Jun-07","WM. J. PAUL JONES","Doug Thom","FRE",246,0.00425634992040971,0
"2018 General Election",1,70,"2018-Jun-07","ROBERT CIARLO","Sam Oosterhoff","PCP",24394,0.5281229703399,10625
"2018 General Election",1,70,"2018-Jun-07","ROBERT CIARLO","Jessica Tillmanns","GPO",2590,0.0560727430179693,0
"2018 General Election",1,70,"2018-Jun-07","ROBERT CIARLO","Curtis Fric","NDP",13769,0.298094825719853,0
"2018 General Election",1,70,"2018-Jun-07","ROBERT CIARLO","Joe Kanee","LIB",4859,0.105195929854947,0
"2018 General Election",1,70,"2018-Jun-07","ROBERT CIARLO","Geoffrey E. Barton","MUL",127,0.00274951288157609,0
"2018 General Election",1,70,"2018-Jun-07","ROBERT CIARLO","Stefanos Karatopis","LTN",451,0.00976401818575449,0
"2018 General Election",1,110,"2018-Jun-07","DIANE STEVENSON","Patricia Kalligosfyris","PCP",8131,0.158594862392479,0
"2018 General Election",1,110,"2018-Jun-07","DIANE STEVENSON","Li Koo","LIB",7216,0.140747820320272,0
"2018 General Election",1,110,"2018-Jun-07","DIANE STEVENSON","Paul Layton","LTN",341,0.00665119272854941,0
"2018 General Election",1,110,"2018-Jun-07","DIANE STEVENSON","Peter Tabuns","NDP",32938,0.642454504671439,24807
"2018 General Election",1,110,"2018-Jun-07","DIANE STEVENSON","John Kladitis","IND",118,0.00230158575357428,0
"2018 General Election",1,110,"2018-Jun-07","DIANE STEVENSON","Ivan Byard","COM",167,0.00325732899022801,0
"2018 General Election",1,110,"2018-Jun-07","DIANE STEVENSON","Andrew Trotter","GPO",2248,0.0438471591019915,0
"2018 General Election",1,110,"2018-Jun-07","DIANE STEVENSON","John Richardson","IND",110,0.00214554604146755,0
"2018 General Election",1,33,"2018-Jun-07","SUSAN DICKERT","Ray Ferraro","PCP",14084,0.21809622621057,0
"2018 General Election",1,33,"2018-Jun-07","SUSAN DICKERT","Agnieszka Mlynarz","NDP",13929,0.215695990832649,0
"2018 General Election",1,33,"2018-Jun-07","SUSAN DICKERT","Michael Riehl","LTN",297,0.0045991606918872,0
"2018 General Election",1,33,"2018-Jun-07","SUSAN DICKERT","Mike Schreiner","GPO",29082,0.450346098456107,14998
"2018 General Election",1,33,"2018-Jun-07","SUSAN DICKERT","Paul Taylor","NAP",358,0.0055437694535206,0
"2018 General Election",1,33,"2018-Jun-07","SUSAN DICKERT","Sly Castaldi","LIB",6537,0.101227991390123,0
"2018 General Election",1,33,"2018-Jun-07","SUSAN DICKERT","Thomas Mooney","ONP",181,0.00280285550583024,0
"2018 General Election",1,33,"2018-Jun-07","SUSAN DICKERT","Juanita Burnett","COM",109,0.00168790745931213,0
"2018 General Election",1,90,"2018-Jun-07","MARIANNE BOWMAN","Jim Fannon","NAP",494,0.00956437560503388,0
"2018 General Election",1,90,"2018-Jun-07","MARIANNE BOWMAN","Daniel Tisi","LTN",195,0.00377541142303969,0
"2018 General Election",1,90,"2018-Jun-07","MARIANNE BOWMAN","Saleh Waziruddin","COM",66,0.00127783155856727,0
"2018 General Election",1,90,"2018-Jun-07","MARIANNE BOWMAN","Jennie Stevens","NDP",18911,0.366137463697967,1558
"2018 General Election",1,90,"2018-Jun-07","MARIANNE BOWMAN","Duke Willis","CAP",37,0.0007163601161665,0
"2018 General Election",1,90,"2018-Jun-07","MARIANNE BOWMAN","Sandie Bellows","PCP",17353,0.335972894482091,0
"2018 General Election",1,90,"2018-Jun-07","MARIANNE BOWMAN","Jim Bradley","LIB",12671,0.245324298160697,0
"2018 General Election",1,90,"2018-Jun-07","MARIANNE BOWMAN","Colin Ryrie","GPO",1923,0.0372313649564376,0
"2018 General Election",1,47,"2018-Jun-07","LOUIS SILCOX","Laura Mae Lindo","NDP",20512,0.433840947546531,7432
"2018 General Election",1,47,"2018-Jun-07","LOUIS SILCOX","Stacey Danckert","GPO",3234,0.0684010152284264,0
"2018 General Election",1,47,"2018-Jun-07","LOUIS SILCOX","Daiene Vernile","LIB",9499,0.200909475465313,0
"2018 General Election",1,47,"2018-Jun-07","LOUIS SILCOX","Mary Henein Thorn","PCP",13080,0.276649746192893,0
"2018 General Election",1,47,"2018-Jun-07","LOUIS SILCOX","Chris Carr","NAP",429,0.0090736040609137,0
"2018 General Election",1,47,"2018-Jun-07","LOUIS SILCOX","Jason Erb","LTN",439,0.00928510998307952,0
"2018 General Election",1,47,"2018-Jun-07","LOUIS SILCOX","Martin Suter","COM",87,0.00184010152284263,0
"2018 General Election",1,27,"2018-Jun-07","HEATHER KENNEDY","Chris Lewis","PCP",23423,0.429756160211365,0
"2018 General Election",1,27,"2018-Jun-07","HEATHER KENNEDY","Taras Natyshak","NDP",26134,0.479496541474781,2711
"2018 General Election",1,27,"2018-Jun-07","HEATHER KENNEDY","Nancy Pancheshan","GPO",1920,0.0352274186742014,0
"2018 General Election",1,27,"2018-Jun-07","HEATHER KENNEDY","Kate Festeryga","LIB",3026,0.0555198796396529,0
"2018 General Election",1,73,"2018-Jun-07","ANN MACDONALD","John O'Keefe","LTN",425,0.00703374542806547,0
"2018 General Election",1,73,"2018-Jun-07","ANN MACDONALD","Jana Papuckoski","NDP",14804,0.245006040746074,0
"2018 General Election",1,73,"2018-Jun-07","ANN MACDONALD","David Piccini","PCP",27386,0.453238005395296,12582
"2018 General Election",1,73,"2018-Jun-07","ANN MACDONALD","Lou Rinaldi","LIB",14603,0.24167949290833,0
"2018 General Election",1,73,"2018-Jun-07","ANN MACDONALD","Derek Sharp","TRI",278,0.00460089700941694,0
"2018 General Election",1,73,"2018-Jun-07","ANN MACDONALD","Jeff Wheeldon","GPO",2740,0.0453469705244692,0
"2018 General Election",1,73,"2018-Jun-07","ANN MACDONALD","Paul Cragg","SCC",187,0.0030948479883488,0
"2018 General Election",1,50,"2018-Jun-07","DENISE HASLAM","Todd Case","NDP",16800,0.333174678724417,0
"2018 General Election",1,50,"2018-Jun-07","DENISE HASLAM","Brian Everaert","TRI",555,0.0110066634935745,0
"2018 General Election",1,50,"2018-Jun-07","DENISE HASLAM","Brad Greulich","LTN",360,0.0071394574012375,0
"2018 General Election",1,50,"2018-Jun-07","DENISE HASLAM","Anthony Li","GPO",1660,0.0329208313501507,0
"2018 General Election",1,50,"2018-Jun-07","DENISE HASLAM","Monte McNaughton","PCP",27906,0.553426939552594,11106
"2018 General Election",1,50,"2018-Jun-07","DENISE HASLAM","Mike Radan","LIB",3143,0.0623314294780263,0
"2018 General Election",1,10,"2018-Jun-07","PAUL MCMORROW","Gregory Argue","LTN",591,0.0149152029073289,0
"2018 General Election",1,10,"2018-Jun-07","PAUL MCMORROW","Ripudaman Dhillon","PCP",14380,0.362911366848375,0
"2018 General Election",1,10,"2018-Jun-07","PAUL MCMORROW","Pauline Thornham","GPO",1366,0.0344740561275994,0
"2018 General Election",1,10,"2018-Jun-07","PAUL MCMORROW","Kevin Yarde","NDP",14877,0.37545427013931,497
"2018 General Election",1,10,"2018-Jun-07","PAUL MCMORROW","Harinder K. Malhi","LIB",8410,0.212245103977387,0
"2018 General Election",1,113,"2018-Jun-07","MAYA KRYMCHAKOVA","Steven del Duca","LIB",13742,0.319983234759931,0
"2018 General Election",1,113,"2018-Jun-07","MAYA KRYMCHAKOVA","Michael Dipasquale","GPO",972,0.0226330740930471,0
"2018 General Election",1,113,"2018-Jun-07","MAYA KRYMCHAKOVA","Paolo Fabrizio","LTN",291,0.00677595119452335,0
"2018 General Election",1,113,"2018-Jun-07","MAYA KRYMCHAKOVA","Michael Tibollo","PCP",21687,0.504983001909375,7945
"2018 General Election",1,113,"2018-Jun-07","MAYA KRYMCHAKOVA","Sandra Lozano","NDP",6254,0.145624738043124,0
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Chris Ballard","LIB",11840,0.227635398842597,0
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Michelle Bourdeau","GPO",1859,0.0357410647338165,0
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Christine Elliott","PCP",24813,0.477053813469709,12408
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Lori Robbins","LTN",192,0.00369138484609616,0
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Melissa Williams","NDP",12405,0.238498067790745,0
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Bob Yaciuk","TRI",212,0.00407590410089785,0
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Dorian Baxter","IND",447,0.00859400534481764,0
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Denis van Decker","NAP",185,0.00355680310691557,0
"2018 General Election",1,67,"2018-Jun-07","TINA BASSO","Denis Gorlynskiy","MOD",60,0.00115355776440505,0
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Aris Babikian","PCP",18582,0.503973312359307,8153
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Carlos Lacuna","TRI",118,0.0032003471563017,0
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Badih Rawdah","PEO",92,0.00249518591847251,0
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Mark Sinclair","LTN",244,0.00661766700116622,0
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Soo Wong","LIB",10429,0.282851021127716,0
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Lydia West","GPO",635,0.0172222071546744,0
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Tasleem Riaz","NDP",6434,0.174500284776654,0
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Jude Coutinho","IND",189,0.00512597976729679,0
"2018 General Election",1,93,"2018-Jun-07","LYNDA ROBINSON","Rubina Ansary","MOD",148,0.0040139947384123,0
"2018 General Election",1,122,"2018-Jun-07","MARY GROGAN","Mark Demontis","PCP",12290,0.329508284626522,0
"2018 General Election",1,122,"2018-Jun-07","MARY GROGAN","Faisal Hassan","NDP",13455,0.360743203388922,1165
"2018 General Election",1,122,"2018-Jun-07","MARY GROGAN","Bonnie Hu","LTN",228,0.00611292830714783,0
"2018 General Election",1,122,"2018-Jun-07","MARY GROGAN","Laura Albanese","LIB",10379,0.278272293420559,0
"2018 General Election",1,122,"2018-Jun-07","MARY GROGAN","Grad Murray","GPO",946,0.0253632902568502,0
"2018 General Election",1,76,"2018-Jun-07","MARET SWAYZE","Gerald Bourdeau","LTN",398,0.00622361219702892,0
"2018 General Election",1,76,"2018-Jun-07","MARET SWAYZE","Marie-France Lalonde","LIB",24972,0.390492572322127,2463
"2018 General Election",1,76,"2018-Jun-07","MARET SWAYZE","Cameron Montgomery","PCP",22509,0.351978107896794,0
"2018 General Election",1,76,"2018-Jun-07","MARET SWAYZE","Barbara Zarboni","NDP",14033,0.219437060203284,0
"2018 General Election",1,76,"2018-Jun-07","MARET SWAYZE","Nicholas Lapierre","GPO",1603,0.0250664581704457,0
"2018 General Election",1,76,"2018-Jun-07","MARET SWAYZE","Samuel Schwisberg","IND",435,0.00680218921032056,0
"2018 General Election",1,99,"2018-Jun-07","ANITA HAMILTON-LAKING","Dan Hambly","LIB",8780,0.14402178370487,0
"2018 General Election",1,99,"2018-Jun-07","ANITA HAMILTON-LAKING","Jim Wilson","PCP",34094,0.55925725440021,20650
